grosswage_ln,meanwage_ln,residual_ln,indreg_size_ind,nr_totfirms_reg,singleind,sdemployer,log_indfirms,nr_ind_in_reg,ent,ratio_foreign,ratio_noprofit,ratio_ind_largefirms
1,0,0,0,0,0,0,0,0,0,0,0,0
0.583547442345381,1,0,0,0,0,0,0,0,0,0,0,0
0.281909501890853,-0.327609575848227,1,0,0,0,0,0,0,0,0,0,0
0.126019828091246,0.0909224467839483,0.00342309249575404,1,0,0,0,0,0,0,0,0,0
0.173519428478757,0.136979715197225,0.00118032775829131,0.495111017168062,1,0,0,0,0,0,0,0,0
-0.272617797413767,-0.0898864601393907,-0.167870121425804,-0.0829120154446835,-0.072539985305938,1,0,0,0,0,0,0,0
0.102777646596439,0.157652796449587,-0.09574404302252,0.265999886209268,0.0702404800928252,-0.114623486925422,1,0,0,0,0,0,0
0.254382864065673,0.0417942217528594,0.205679896750608,0.362979035963309,0.275380552053109,-0.580087584579988,0.0331064828233283,1,0,0,0,0,0
0.23284279705016,0.234104843461294,-0.0127023278524396,0.24105605314272,0.477748057099976,-0.122615884989041,0.102624782022367,0.321228931850077,1,0,0,0,0
0.136760003276915,0.129578090117339,0.0119289785450412,0.0968463633347548,0.223237746134137,-0.0937493912204257,0.00247151058641413,0.202862220606665,0.638738992960089,1,0,0,0
0.0419052936548578,0.0523332341828573,-0.0222927306254508,0.0255987355801118,0.126122293218649,-0.00526945211719632,0.0212616518474521,0.0133135564599266,0.0597496826480758,0.0182950494351473,1,0,0
0.0561978741239002,-0.0967393297204345,0.224514469444126,-0.0242208830058762,-0.0301586103550653,-0.0267296921407584,-0.0517191466383637,0.041989795272156,-0.0468407756350958,-0.0176000864714443,-0.0107768442415042,1,0
0.0361473991064917,0.034031475410592,-0.00189160830284509,0.0742316165751628,0.112068417608828,-0.0181659355082575,0.106398542846733,0.0549423077774835,0.124623463479135,-0.0516174437837626,0.00478854459018575,-0.00380477775180611,1
